Country Name,Country Code,Population
Hungary,HUN,9769949
Indonesia,IDN,270625568
Isle of Man,IMN,84584
India,IND,1366417754
Ireland,IRL,4941444
Iran,IRN,82913906
Iraq,IRQ,39309783
Iceland,ISL,361313
Israel,ISR,9053300
Italy,ITA,60297396
Jamaica,JAM,2948279
Jordan,JOR,10101694
Japan,JPN,126264931
Kazakhstan,KAZ,18513930
Kenya,KEN,52573973
Kyrgyz Republic,KGZ,6456900
Cambodia,KHM,16486542
Kiribati,KIR,117606
St. Kitts and Nevis,KNA,52823
"Korea, Rep.",KOR,51709098
Kuwait,KWT,4207083
Latin America & Caribbean (excluding high income),LAC,613773128
Lao PDR,LAO,7169455
Lebanon,LBN,6855713
Liberia,LBR,4937374
Libya,LBY,6777452
St. Lucia,LCA,182790
Latin America & Caribbean,LCN,646430841
Liechtenstein,LIE,38019
Sri Lanka,LKA,21803000
Lesotho,LSO,2125268
Lithuania,LTU,2786844
Luxembourg,LUX,619896
Latvia,LVA,1912789
"Macao SAR, China",MAC,640445
St. Martin (French part),MAF,38002
Morocco,MAR,36471769
Monaco,MCO,38964
Moldova,MDA,2657637
Madagascar,MDG,26969307
Maldives,MDV,530953
Mexico,MEX,127575529
Marshall Islands,MHL,58791
North Macedonia,MKD,2083459
Mali,MLI,19658031
Malta,MLT,502653
Myanmar,MMR,54045420
Montenegro,MNE,622137
Mongolia,MNG,3225167
Northern Mariana Islands,MNP,57216
Mozambique,MOZ,30366036
Mauritania,MRT,4525696
Mauritius,MUS,1265711
Malawi,MWI,18628747
Malaysia,MYS,31949777
Namibia,NAM,2494530
New Caledonia,NCL,287800
Niger,NER,23310715
Nigeria,NGA,200963599
Nicaragua,NIC,6545502
Netherlands,NLD,17332850
Norway,NOR,5347896
Nepal,NPL,28608710
Nauru,NRU,12581
New Zealand,NZL,4917000
Oman,OMN,4974986
Pakistan,PAK,216565318
Panama,PAN,4246439
Peru,PER,32510453
Philippines,PHL,108116615
Palau,PLW,18008
Papua New Guinea,PNG,8776109
Poland,POL,37970874
Puerto Rico,PRI,3193694
North Korea,PRK,25666161
Portugal,PRT,10269417
Paraguay,PRY,7044636
West Bank and Gaza,PSE,4685306
Qatar,QAT,2832067
Romania,ROU,19356544
Russia,RUS,144373535
Rwanda,RWA,12626950
Saudi Arabia,SAU,34268528
Sudan,SDN,42813238
Senegal,SEN,16296364
Singapore,SGP,5703569
Solomon Islands,SLB,669823
Sierra Leone,SLE,7813215
El Salvador,SLV,6453553
San Marino,SMR,33860
Somalia,SOM,15442905
Serbia,SRB,6944975
S. Sudan,SSD,11062113
Sao Tome and Principe,STP,215056
Suriname,SUR,581372
Slovak Republic,SVK,5454073
Slovenia,SVN,2087946
Sweden,SWE,10285453
Eswatini,SWZ,1148130
Sint Maarten (Dutch part),SXM,40733
Seychelles,SYC,97625
Syrian Arab Republic,SYR,17070135
Turks and Caicos Islands,TCA,38191
Chad,TCD,15946876
Togo,TGO,8082366
Thailand,THA,69625582
Tajikistan,TJK,9321018
Turkmenistan,TKM,5942089
Timor-Leste,TLS,1293119
Tonga,TON,104494
Trinidad and Tobago,TTO,1394973
Tunisia,TUN,11694719
Turkey,TUR,83429615
Tuvalu,TUV,11646
Tanzania,TZA,58005463
Uganda,UGA,44269594
Ukraine,UKR,44385155
Uruguay,URY,3461734
United States of America,USA,328239523
Uzbekistan,UZB,33580650
St. Vincent and the Grenadines,VCT,110589
Venezuela,VEN,28515829
British Virgin Islands,VGB,30030
Virgin Islands (U.S.),VIR,106631
Vietnam,VNM,96462106
Vanuatu,VUT,299882
Samoa,WSM,197097
Kosovo,XKX,1794248
Yemen,YEM,29161922
South Africa,ZAF,58558270
Zambia,ZMB,17861030
Zimbabwe,ZWE,14645468
